id,name,gender,trading_style,instrument_type,ticker_or_contract,profit_example,profit_category
3696,Ariana Ward,Female,Options Spreads,Futures,GC Dec25,"$129,709.40",Net P&L
3697,Rafael Lee,Male,Mean Reversion,Crypto,DOT,1362.26%,Paper Gain
3698,Cora Miller,Female,Algorithmic Trading,Stock,PEP,1260.64%,Per Trade Profit
3699,Asher Wright,Male,Pairs Trading,Crypto,DOGE,"$51,147.97",Return (%)
3700,Hadley Sanchez,Female,Position Trading,Crypto,BTC,"$178,658.86",Weekly P&L
3701,Theodore Green 520,Male,Mean Reversion,Crypto,TRX,"$126,031.08",Before Fees
3702,Brooklyn Garcia,Female,Carry Trade,Stock,DIS,"$-45,329.75",Net P&L
3703,Nathan Morgan 914,Male,Statistical Arbitrage,Options,AAPL 2025-12-19 C 180,"$85,892.15",Unrealized Profit
3704,Aurora Taylor 184,Female,High Frequency Trading,Crypto,ATOM,"$125,629.55",Daily P&L
3705,Ariel Sanders,Female,Mean Reversion,Stock,UBER,"$134,113.06",Return (%)
3706,Isla Adams,Female,Scalping,Stock,PYPL,"$-2,908.27",After Fees
3707,Charlie Lewis,Non-binary,Trend Following,Stock,V,"$192,891.47",After Fees
3708,Emilia Foster,Female,Scalping,Options,AAPL 2025-12-19 C 180,-98.82%,Net of Taxes
3709,Emerson Ortiz,Non-binary,Swing Trading,Crypto,ATOM,128.96%,Return (%)
3710,Penelope White 121,Female,Quantitative Trading,Crypto,ADA,1149.74%,Absolute $
3711,Evan Sanchez,Male,Scalping,Stock,MA,"$76,896.83",Net of Taxes
3712,Gabriella Richardson,Female,Statistical Arbitrage,Crypto,BTC,"$175,625.96",Daily P&L
3713,Grayson Sanders 859,Male,Statistical Arbitrage,Crypto,SHIB,"$165,075.01",Net of Taxes
3714,Daniel Brooks,Male,Quantitative Trading,Futures,CL Nov25,1815.97%,Monthly P&L
3715,Grace Gutierrez,Female,News Trading,Crypto,DOGE,205.62%,Return (%)
3716,Madelyn Ward 526,Female,Position Trading,Stock,BABA,"$141,747.29",Weekly P&L
3717,Brayden Reyes,Male,Swing Trading,Stock,BRK.B,1782.74%,Realized Profit
3718,Caroline Walker,Female,Pairs Trading,Stock,V,556.53%,Per Trade Profit
3719,Hayden Flores,Non-binary,Swing Trading,Stock,ABNB,"$95,382.60",Monthly P&L
3720,Connor Moore,Male,Trend Following,Stock,MRNA,"$8,064.90",Weekly P&L
3721,Willow Reed,Female,Day Trading,Stock,PG,1440.61%,Net P&L
3722,Damian Rogers,Male,Trend Following,Stock,PYPL,1237.34%,Monthly P&L
3723,Amelia Reyes,Female,News Trading,Options,MSFT 2025-11-21 P 300,"$28,556.44",Before Fees
3724,Hadley Murphy,Female,Scalping,Stock,ORCL,"$81,561.91",Monthly P&L
3725,Christopher Gray,Male,Algorithmic Trading,Stock,PEP,"$60,714.19",Per Trade Profit
3726,Tristan Reyes,Male,Position Trading,Stock,PG,1340.77%,Monthly P&L
3727,Sawyer Brown,Male,Statistical Arbitrage,Crypto,BTC,"$4,478.00",Net of Taxes
3728,Owen Sanchez 734,Male,Pairs Trading,Crypto,DOT,"$176,047.50",Absolute $
3729,Nevaeh Baker,Female,Trend Following,Stock,INTC,-9.24%,Paper Gain
3730,Zachary Moore,Male,Quantitative Trading,Futures,ETH-PERP,"$-10,344.50",Net P&L
3731,Alex Price,Male,Pairs Trading,Stock,GOOGL,227.34%,Net of Taxes
3732,Victoria Moore,Female,Carry Trade,Futures,NQ Dec25,"$-31,290.86",Absolute $
3733,Everly Jones,Female,News Trading,Crypto,DOGE,"$36,169.12",After Fees
3734,Jordan Martin,Non-binary,Position Trading,Stock,MA,"$-31,589.27",Absolute $
3735,Hayden Campbell,Non-binary,Statistical Arbitrage,Crypto,SHIB,133.43%,Paper Gain
3736,Ian Young,Male,Scalping,Futures,BTC-PERP,209.7%,Per Trade Profit
3737,Emma Turner,Female,Quantitative Trading,Stock,DIS,"$-11,544.65",Monthly P&L
3738,Ezekiel Wood,Male,Day Trading,Stock,NKE,"$24,009.90",Absolute $
3739,Willow Young 689,Female,News Trading,Stock,JPM,"$152,819.63",Return (%)
3740,Amelia Taylor,Female,Trend Following,Futures,NQ Dec25,"$74,930.60",After Fees
3741,Nevaeh Gray 321,Female,High Frequency Trading,Futures,NQ Dec25,925.13%,Monthly P&L
3742,Marley Castillo,Non-binary,Options Spreads,Crypto,BNB,"$79,887.15",Daily P&L
3743,Hannah Phillips 581,Female,Momentum Trading,Stock,ORCL,790.59%,Net of Taxes
3744,Tristan White,Male,Futures Roll,Stock,CRM,"$34,289.67",Realized Profit
3745,Landon Foster,Male,Futures Roll,Crypto,MATIC,"$130,325.53",Return (%)
3746,Layla Jones,Female,Algorithmic Trading,Stock,CRM,"$102,900.35",After Fees
3747,Jonathan Lee 936,Male,Scalping,Stock,TSLA,"$-1,590.65",Net P&L
3748,Riley Ramos 754,Female,Scalping,Crypto,TRX,230.86%,Absolute $
3749,Serenity Jackson,Female,Trend Following,Stock,ABNB,"$70,095.99",Paper Gain
3750,Hunter Garcia,Male,Momentum Trading,Options,TSLA 2025-10-17 P 250,"$113,091.94",After Fees
3751,Chloe Collins 800,Female,Trend Following,Stock,V,"$85,368.43",After Fees
3752,Cora Jackson 65,Female,Mean Reversion,Stock,NVDA,988.96%,Daily P&L
3753,Sophia Hernandez,Female,Options Spreads,Futures,NQ Dec25,1062.15%,Gross P&L
3754,Miles Turner,Male,Trend Following,Stock,CRM,"$170,259.80",After Fees
3755,Beau Reed,Male,Day Trading,Stock,NKE,1760.84%,Gross P&L
3756,Steven Watson,Male,Trend Following,Stock,PEP,"$65,257.98",After Fees
3757,Margaret Allen,Female,Carry Trade,Stock,INTC,"$-49,099.12",Daily P&L
3758,Ellie Turner,Female,Futures Roll,Stock,DIS,11.0%,Absolute $
3759,Ian Rogers,Male,Momentum Trading,Crypto,LTC,"$-11,234.20",Before Fees
3760,Adam Moore,Male,Quantitative Trading,Crypto,SOL,49.52%,Per Trade Profit
3761,Hazel Thomas,Female,Trend Following,Stock,AAPL,"$73,172.90",Per Trade Profit
3762,Claire Jones,Female,Quantitative Trading,Stock,PFE,"$-47,356.38",Net P&L
3763,Rafael Chavez 413,Male,News Trading,Stock,NFLX,203.12%,Net of Taxes
3764,Luna Thompson,Female,Momentum Trading,Crypto,BNB,"$40,240.93",Return (%)
3765,Ellie Hernandez,Female,Scalping,Options,AAPL 2025-12-19 C 180,"$-28,600.02",Net of Taxes
3766,Lily Bailey 22,Female,Position Trading,Crypto,BTC,"$123,034.80",Weekly P&L
3767,Brooklyn Morales,Female,News Trading,Options,AAPL 2025-12-19 C 180,"$69,884.61",Per Trade Profit
3768,Lucas Stewart,Male,Pairs Trading,Options,AAPL 2025-12-19 C 180,"$56,162.21",Before Fees
3769,Reagan Cruz,Female,Momentum Trading,Crypto,LTC,516.71%,Unrealized Profit
3770,Emilia Rodriguez,Female,Day Trading,Stock,SQ,"$67,245.46",Monthly P&L
3771,Marcus Patel,Male,Mean Reversion,Stock,PFE,"$-37,983.69",Return (%)
3772,Alice Stewart,Female,High Frequency Trading,Stock,MRNA,1197.32%,Realized Profit
3773,Blake Thompson,Male,Statistical Arbitrage,Crypto,ATOM,"$106,092.57",Net of Taxes
3774,Sarah Collins 692,Female,Trend Following,Crypto,AVAX,1723.13%,Absolute $
3775,Maxwell Myers,Male,Pairs Trading,Futures,ETH-PERP,"$140,020.99",Return (%)
3776,Sawyer Gray,Male,Carry Trade,Crypto,SHIB,248.1%,Gross P&L
3777,Anthony Anderson 359,Male,Futures Roll,Crypto,ADA,"$185,289.44",Weekly P&L
3778,Addison Lopez,Female,High Frequency Trading,Futures,NQ Dec25,"$145,244.17",Net of Taxes
3779,Isla Diaz,Female,Futures Roll,Options,MSFT 2025-11-21 P 300,"$-21,196.93",Per Trade Profit
3780,Alex Ortiz,Non-binary,Scalping,Stock,NFLX,861.39%,Net of Taxes
3781,Addison Gutierrez,Female,Quantitative Trading,Stock,PFE,"$-30,289.80",Gross P&L
3782,Isabella Rogers,Female,Trend Following,Stock,PEP,"$-7,271.14",Daily P&L
3783,Nathan Cruz 263,Male,Options Spreads,Stock,AAPL,"$14,609.26",Weekly P&L
3784,Sebastian Cruz,Male,Position Trading,Crypto,ETH,90.11%,Realized Profit
3785,Hunter Mitchell 821,Non-binary,Carry Trade,Crypto,ETH,"$56,072.72",Before Fees
3786,Clara Sanders,Female,Mean Reversion,Stock,BRK.B,"$39,241.46",Net of Taxes
3787,Elias Bennett,Male,Futures Roll,Stock,PEP,316.98%,Gross P&L
3788,Ariana Johnson,Female,Momentum Trading,Options,AAPL 2025-12-19 C 180,"$164,606.52",Gross P&L
3789,Ian Murphy,Male,Day Trading,Crypto,SOL,"$32,970.57",Before Fees
3790,Kinsley Gutierrez 892,Female,Position Trading,Options,MSFT 2025-11-21 P 300,195.9%,Unrealized Profit
3791,Lillian Stewart,Female,Carry Trade,Futures,CL Nov25,"$46,649.11",Gross P&L
3792,Grayson Collins 983,Male,Carry Trade,Stock,PFE,1972.0%,Paper Gain
3793,Eli Hernandez,Male,Trend Following,Stock,NFLX,"$152,168.04",Return (%)
3794,Samantha White,Female,Options Spreads,Stock,ABNB,957.24%,Per Trade Profit
3795,Gabriella Cooper,Female,Trend Following,Crypto,LTC,"$32,347.35",Gross P&L
3796,Sloane Nguyen,Female,Carry Trade,Futures,NQ Dec25,"$179,516.83",Paper Gain
3797,Hailey Ruiz,Female,Day Trading,Futures,GC Dec25,1921.38%,Absolute $
3798,Landon Nelson,Male,Algorithmic Trading,Crypto,ETH,"$173,953.16",Before Fees
3799,Camila Martin,Female,Pairs Trading,Options,NVDA 2026-01-21 C 350,"$10,600.28",Daily P&L
3800,Aubrey Evans 123,Female,News Trading,Futures,ES Dec25,"$150,829.36",Paper Gain
3801,Lydia Walker,Female,Futures Roll,Options,AAPL 2025-12-19 C 180,"$54,721.39",Net of Taxes
3802,Elijah Green 993,Male,Swing Trading,Stock,PG,"$-17,365.92",Per Trade Profit
3803,Reese Young,Non-binary,Futures Roll,Stock,PEP,270.15%,Per Trade Profit
3804,Anna Rodriguez,Female,Mean Reversion,Crypto,AVAX,"$64,142.07",Monthly P&L
3805,Owen Rodriguez 820,Male,Scalping,Options,TSLA 2025-10-17 P 250,"$124,632.13",After Fees
3806,Chloe Bailey,Female,Swing Trading,Futures,BTC-PERP,774.01%,Return (%)
3807,Stella Hall,Female,Trend Following,Crypto,LINK,"$44,177.24",Return (%)
3808,Miles Nguyen 83,Male,Mean Reversion,Crypto,BTC,1057.05%,Before Fees
3809,Levi Martinez,Male,Quantitative Trading,Futures,ETH-PERP,"$-39,624.09",Return (%)
3810,Serenity Wright,Female,Pairs Trading,Stock,SQ,"$75,375.38",Paper Gain
3811,London Torres 461,Non-binary,Momentum Trading,Options,NVDA 2026-01-21 C 350,"$-30,189.38",Net P&L
3812,Penelope Ward,Female,Futures Roll,Crypto,TRX,"$133,396.65",Monthly P&L
3813,Colton Lee,Male,Options Spreads,Futures,NQ Dec25,998.2%,Gross P&L
3814,Ezra Myers,Male,Momentum Trading,Stock,PG,"$85,394.64",Per Trade Profit
3815,Chloe Stewart 149,Female,Quantitative Trading,Crypto,DOGE,1416.99%,Paper Gain
3816,Nolan Edwards,Male,Carry Trade,Crypto,TRX,"$-30,001.61",Daily P&L
3817,Carter Bennett,Male,High Frequency Trading,Crypto,TRX,"$108,323.83",Monthly P&L
3818,Delilah Brooks,Female,High Frequency Trading,Crypto,LTC,"$56,320.71",Net P&L
3819,Morgan Edwards,Non-binary,Swing Trading,Stock,NKE,"$32,647.91",Return (%)
3820,Jade Howard,Female,Momentum Trading,Stock,MSFT,363.32%,Per Trade Profit
3821,Sofia Perez 565,Female,Futures Roll,Stock,SQ,-52.45%,Daily P&L
3822,Isaac Garcia,Male,Trend Following,Crypto,SOL,"$22,588.44",Absolute $
3823,Rylee Hughes,Female,Futures Roll,Crypto,XRP,1964.43%,Per Trade Profit
3824,Daniel Wilson,Male,Scalping,Stock,INTC,"$95,945.33",Per Trade Profit
3825,Lillian Phillips,Female,High Frequency Trading,Options,MSFT 2025-11-21 P 300,"$160,352.22",Monthly P&L
3826,Jace Johnson,Male,Carry Trade,Stock,JPM,805.59%,Daily P&L
3827,Carter Alvarez,Male,Scalping,Stock,ABNB,242.37%,Before Fees
3828,Willow Morgan,Female,Futures Roll,Stock,NKE,"$114,808.87",Absolute $
3829,Zoey Gray,Female,Carry Trade,Crypto,DOT,785.67%,Realized Profit
3830,Sophia Brooks,Female,Algorithmic Trading,Crypto,DOT,"$-17,806.62",Daily P&L
3831,Maxwell Young,Male,Position Trading,Crypto,BTC,"$186,330.61",After Fees
3832,Zachary Carter,Male,High Frequency Trading,Stock,BRK.B,"$87,430.95",Realized Profit
3833,Matthew Jimenez,Male,Day Trading,Futures,ES Dec25,668.55%,Net P&L
3834,Mateo Sanchez,Male,Day Trading,Stock,DIS,"$113,984.26",After Fees
3835,Wesley Collins,Male,Quantitative Trading,Stock,UNH,"$57,873.35",Net of Taxes
3836,Victor Howard,Male,News Trading,Crypto,BNB,615.32%,Return (%)
3837,Lucy Mitchell,Female,Trend Following,Stock,UNH,403.98%,Per Trade Profit
3838,Ian Price,Male,Position Trading,Crypto,LTC,"$41,137.47",Monthly P&L
3839,Alexander Bailey,Male,Mean Reversion,Stock,HD,175.06%,Monthly P&L
3840,Addison Jackson,Female,Futures Roll,Options,AAPL 2025-12-19 C 180,1524.64%,Per Trade Profit
3841,Blair Jimenez,Non-binary,Trend Following,Crypto,MATIC,"$-33,224.73",Per Trade Profit
3842,Emily Hill 854,Female,Pairs Trading,Futures,GC Dec25,571.31%,Realized Profit
3843,Charlotte Bennett,Female,Quantitative Trading,Stock,BABA,1751.59%,After Fees
3844,Evan Sanders,Male,Pairs Trading,Crypto,SOL,295.96%,Daily P&L
3845,George Walker,Male,Scalping,Stock,SQ,1449.44%,Gross P&L
3846,Lillian Johnson,Female,Algorithmic Trading,Crypto,SOL,816.67%,Gross P&L
3847,Ava Kelly 258,Female,Scalping,Stock,KO,1792.47%,Return (%)
3848,Ariel Perez,Female,Trend Following,Stock,CRM,"$-34,717.35",Realized Profit
3849,Victor Morris,Male,Scalping,Crypto,BNB,"$177,724.23",Net P&L
3850,Sage Hill,Non-binary,Scalping,Stock,AMZN,1541.63%,Net P&L
3851,Quinn Sanders 240,Female,News Trading,Stock,ADBE,$532.15,Net of Taxes
3852,Samantha Parker,Female,Futures Roll,Crypto,ATOM,"$54,002.68",Paper Gain
3853,Zoe Taylor,Female,Momentum Trading,Stock,GOOGL,"$-8,643.94",Unrealized Profit
3854,Jade Clark 516,Female,Swing Trading,Stock,BRK.B,"$98,015.76",Gross P&L
3855,Scarlett Richardson,Female,Swing Trading,Crypto,XRP,"$111,181.22",Daily P&L
3856,Isaiah Gray,Male,News Trading,Stock,KO,"$-20,745.70",Net of Taxes
3857,Brayden Ramos 38,Male,Algorithmic Trading,Crypto,ETH,"$48,138.77",Before Fees
3858,Lydia Clark,Female,High Frequency Trading,Stock,NVDA,1750.1%,Per Trade Profit
3859,Benjamin Hill,Male,Scalping,Futures,ETH-PERP,78.66%,Monthly P&L
3860,Margaret Peterson,Female,Position Trading,Futures,ES Dec25,1565.69%,After Fees
3861,Theodore Brown 116,Male,Mean Reversion,Stock,META,"$171,838.55",Net P&L
3862,Emmett King,Male,Day Trading,Crypto,MATIC,60.89%,Before Fees
3863,Nova Hall,Female,Statistical Arbitrage,Stock,NKE,"$137,782.30",Paper Gain
3864,Maxwell Wood,Male,Scalping,Stock,BRK.B,1487.4%,Net P&L
3865,Elijah Sanchez,Male,Scalping,Crypto,AVAX,"$193,104.95",Per Trade Profit
3866,Adeline Davis,Female,Futures Roll,Stock,UBER,1939.19%,Net P&L
3867,Kinsley Ward,Female,Algorithmic Trading,Stock,MRNA,"$49,734.35",After Fees
3868,Asher Kim 624,Male,Quantitative Trading,Stock,SQ,"$101,149.01",Monthly P&L
3869,Adeline Young,Female,Swing Trading,Stock,DIS,"$-22,976.26",Per Trade Profit
3870,Victor Johnson 802,Male,Scalping,Stock,NFLX,"$-37,860.96",Absolute $
3871,Carter Ramirez,Male,Day Trading,Stock,ABNB,753.06%,Before Fees
3872,Zoe Torres,Female,Mean Reversion,Options,TSLA 2025-10-17 P 250,"$33,763.44",Daily P&L
3873,Brayden Murphy,Male,Trend Following,Stock,ADBE,1660.78%,Paper Gain
3874,Cora Baker,Female,Trend Following,Crypto,DOT,136.4%,Net of Taxes
3875,Kinsley Turner,Female,Pairs Trading,Options,TSLA 2025-10-17 P 250,"$-8,726.71",Weekly P&L
3876,Easton Cooper,Male,Statistical Arbitrage,Crypto,ADA,"$169,508.61",Monthly P&L
3877,Mila Walker,Female,Carry Trade,Crypto,BTC,763.51%,After Fees
3878,Christopher Evans,Male,Carry Trade,Stock,KO,"$134,513.57",Daily P&L
3879,Josiah Robinson,Male,Momentum Trading,Stock,AMZN,"$6,996.24",After Fees
3880,David Kelly,Male,Swing Trading,Stock,PG,"$39,587.56",Gross P&L
3881,Daniel Anderson,Male,Carry Trade,Crypto,BNB,676.73%,Paper Gain
3882,Jade Flores,Female,Quantitative Trading,Crypto,DOGE,52.65%,Before Fees
3883,Daniel Flores,Male,Algorithmic Trading,Stock,AAPL,59.87%,Before Fees
3884,Brooklyn Myers,Female,Trend Following,Crypto,SHIB,"$127,319.32",Gross P&L
3885,Asher King,Male,High Frequency Trading,Stock,PG,"$138,264.90",Monthly P&L
3886,Drew Murphy,Non-binary,Day Trading,Stock,JPM,"$169,321.25",Per Trade Profit
3887,Tristan Green,Male,News Trading,Stock,UNH,1554.65%,Realized Profit
3888,Liam Lopez,Male,Momentum Trading,Stock,MA,"$143,859.08",Net P&L
3889,Sasha Ramos,Non-binary,Momentum Trading,Stock,JPM,1268.43%,Daily P&L
3890,Nico Myers,Non-binary,Quantitative Trading,Options,TSLA 2025-10-17 P 250,386.68%,Return (%)
3891,Mia Howard,Female,Futures Roll,Stock,ORCL,"$147,498.36",Net P&L
3892,Micah Alvarez,Male,Options Spreads,Crypto,ETH,1804.46%,Realized Profit
3893,Harper Harris,Female,Carry Trade,Stock,NKE,1482.6%,Realized Profit
3894,Victor Ortiz,Male,Carry Trade,Crypto,LINK,"$136,376.28",After Fees
3895,Isabella Johnson,Female,Statistical Arbitrage,Crypto,SOL,594.51%,Per Trade Profit
3896,Jade Thomas,Female,News Trading,Stock,TSLA,"$103,264.18",Absolute $
3897,Caleb Nguyen,Male,Statistical Arbitrage,Stock,AMZN,1366.14%,Return (%)
3898,Sofia Stewart,Female,Day Trading,Stock,ADBE,135.72%,Daily P&L
3899,Vivian Rodriguez,Female,Algorithmic Trading,Crypto,LTC,"$65,239.32",Per Trade Profit
3900,Lydia Long,Female,High Frequency Trading,Stock,TSLA,"$-20,614.25",Absolute $
3901,Cora Robinson 845,Female,Statistical Arbitrage,Stock,JPM,1342.39%,Per Trade Profit
3902,Amelia Lopez,Female,Position Trading,Stock,DIS,"$128,025.70",Gross P&L
3903,Leah Edwards,Female,High Frequency Trading,Stock,AMZN,"$17,646.01",Weekly P&L
3904,Marley Hill,Non-binary,Pairs Trading,Crypto,ETH,"$126,403.49",Per Trade Profit
3905,Hannah Green,Female,Momentum Trading,Crypto,SHIB,1762.7%,Before Fees
3906,Jack Morris,Male,Statistical Arbitrage,Stock,INTC,1704.84%,Per Trade Profit
3907,Madelyn Thomas,Female,Momentum Trading,Crypto,BTC,"$31,427.87",Gross P&L
3908,Vivian Stewart,Female,Trend Following,Stock,AMZN,"$-17,526.34",Daily P&L
3909,Harper Ortiz 888,Female,Swing Trading,Futures,GC Dec25,995.66%,Net of Taxes
3910,Brooks Smith,Male,Position Trading,Stock,CRM,"$54,130.47",Unrealized Profit
3911,Hudson Allen,Male,Scalping,Stock,NKE,1998.65%,Monthly P&L
3912,Mia Ross,Female,Pairs Trading,Crypto,DOT,"$141,861.60",Monthly P&L
3913,Cameron Sanders,Non-binary,Mean Reversion,Options,NVDA 2026-01-21 C 350,"$199,997.21",Per Trade Profit
3914,Zoe Bailey,Female,Statistical Arbitrage,Crypto,DOGE,"$-35,873.47",Before Fees
3915,Luna Watson,Female,Mean Reversion,Stock,BRK.B,"$-26,298.30",Unrealized Profit
3916,Reagan Foster,Female,Mean Reversion,Crypto,BTC,752.98%,Net of Taxes
3917,Riley Ward 420,Non-binary,Day Trading,Crypto,MATIC,"$57,594.43",Daily P&L
3918,Cora Ramirez,Female,Futures Roll,Options,NVDA 2026-01-21 C 350,"$26,859.72",Weekly P&L
3919,Ivy Moore 113,Female,Day Trading,Crypto,BTC,"$198,256.04",After Fees
3920,Harrison Myers 609,Male,Futures Roll,Options,AAPL 2025-12-19 C 180,"$11,491.83",Before Fees
3921,Ivy Watson,Female,Options Spreads,Crypto,DOGE,1380.6%,Absolute $
3922,Hailey Lewis,Female,Swing Trading,Stock,NFLX,"$172,325.49",Before Fees
3923,Elias Wright,Male,Options Spreads,Crypto,AVAX,"$26,117.11",After Fees
3924,Eliza Thompson,Female,Swing Trading,Crypto,DOT,1576.73%,Per Trade Profit
3925,Leah Gomez,Female,Options Spreads,Stock,NVDA,"$40,112.66",Gross P&L
3926,Adam Rogers,Male,Futures Roll,Stock,GOOGL,470.04%,After Fees
3927,Olivia Garcia,Female,Momentum Trading,Stock,UNH,28.12%,Absolute $
3928,Kai Ward,Non-binary,Swing Trading,Futures,NQ Dec25,"$161,289.17",Absolute $
3929,Hazel Hall 177,Female,Futures Roll,Futures,CL Nov25,"$-47,472.72",Daily P&L
3930,Elena Long,Female,Swing Trading,Crypto,BNB,376.91%,Unrealized Profit
3931,Ryan Jackson,Male,Futures Roll,Crypto,BNB,"$69,658.93",Unrealized Profit
3932,Miles Bailey 206,Male,Day Trading,Stock,BABA,"$149,638.37",Monthly P&L
3933,Eleanor Phillips,Female,Options Spreads,Crypto,SHIB,338.62%,Paper Gain
3934,Riley Ramirez,Female,Momentum Trading,Futures,NQ Dec25,"$38,738.10",Absolute $
3935,Wesley Gutierrez,Male,High Frequency Trading,Stock,NVDA,"$-5,821.53",Return (%)
3936,Eleanor Wilson,Female,High Frequency Trading,Stock,KO,1631.56%,Daily P&L
3937,Amelia Smith 558,Female,Momentum Trading,Crypto,BNB,427.06%,Realized Profit
3938,Aaron Johnson,Male,High Frequency Trading,Stock,META,312.97%,Unrealized Profit
3939,Ariana Rogers,Female,News Trading,Stock,JPM,"$141,510.89",Unrealized Profit
3940,Dominic Morales 914,Male,Day Trading,Crypto,ATOM,"$4,780.13",Unrealized Profit
3941,Jade Chavez 643,Female,Position Trading,Stock,SQ,"$55,241.62",Per Trade Profit
3942,Oliver Wood 644,Male,News Trading,Stock,HD,"$131,976.60",Daily P&L
3943,Leo Morales,Male,High Frequency Trading,Crypto,LINK,"$117,179.31",Absolute $
3944,Theodore Clark,Male,Futures Roll,Crypto,AVAX,"$192,430.50",Net of Taxes
3945,Kai Campbell,Male,Momentum Trading,Crypto,BNB,"$89,023.17",Per Trade Profit
3946,Isabella Lewis,Female,Futures Roll,Crypto,XRP,1321.57%,Before Fees
3947,Hadley Ramirez,Female,Day Trading,Stock,HD,"$-26,349.22",Before Fees
3948,Rowan Gray,Male,News Trading,Stock,HD,1329.96%,Daily P&L
3949,Caleb Johnson,Male,Quantitative Trading,Stock,MA,1511.57%,Absolute $
3950,Nora Hill,Female,Scalping,Stock,NFLX,1640.56%,Net of Taxes
3951,Claire Young,Female,News Trading,Stock,CRM,86.96%,Daily P&L
3952,Kai Nelson,Male,Statistical Arbitrage,Stock,NVDA,"$-11,824.01",Return (%)
3953,Zachary Phillips,Male,Futures Roll,Stock,ORCL,"$93,190.24",Absolute $
3954,Jace Allen,Male,Pairs Trading,Crypto,ATOM,"$89,082.86",Return (%)
3955,Colton Torres,Male,News Trading,Stock,MA,"$67,482.54",Before Fees
3956,Isabella Miller,Female,Scalping,Stock,ABNB,"$-13,382.16",Weekly P&L
3957,Cameron Carter,Non-binary,Mean Reversion,Crypto,ADA,"$47,630.39",Weekly P&L
3958,Rylee Price,Female,Algorithmic Trading,Options,TSLA 2025-10-17 P 250,"$76,248.03",Gross P&L
3959,Allison Rodriguez,Female,Day Trading,Stock,PG,1118.55%,Realized Profit
3960,Stella Peterson,Female,Day Trading,Crypto,MATIC,336.53%,Monthly P&L
3961,Paisley Flores,Female,Futures Roll,Stock,MRNA,1071.0%,Net of Taxes
3962,Madison Bennett,Female,News Trading,Stock,HD,486.73%,After Fees
3963,Riley Ward 688,Non-binary,Statistical Arbitrage,Stock,META,"$53,708.41",Weekly P&L
3964,Ariel Campbell 655,Female,Day Trading,Futures,ES Dec25,"$137,806.79",Monthly P&L
3965,Julian Turner,Male,Pairs Trading,Stock,CRM,"$73,439.39",Net P&L
3966,Riley Cooper 453,Female,Swing Trading,Crypto,ATOM,1551.4%,Daily P&L
3967,Elias Kelly,Male,Quantitative Trading,Stock,UNH,"$179,597.71",Unrealized Profit
3968,Isla Cooper,Female,Futures Roll,Options,NVDA 2026-01-21 C 350,"$98,353.75",Weekly P&L
3969,Zoey Cruz 282,Female,News Trading,Stock,JPM,"$154,852.79",Before Fees
3970,Jack Cook,Male,Trend Following,Stock,TSLA,"$9,935.91",Before Fees
3971,Sarah Ramos,Female,Carry Trade,Options,MSFT 2025-11-21 P 300,"$102,064.97",Per Trade Profit
3972,Luke Hill,Male,News Trading,Crypto,ADA,"$51,425.09",Return (%)
3973,Jacob White 841,Male,Quantitative Trading,Stock,HD,"$8,783.63",After Fees
3974,Cameron Cooper,Male,Pairs Trading,Stock,UNH,"$22,684.35",Absolute $
3975,Joshua Ramos,Male,Statistical Arbitrage,Options,TSLA 2025-10-17 P 250,"$60,324.03",After Fees
3976,Rowan Thomas 674,Male,Options Spreads,Crypto,ETH,"$-5,645.17",Weekly P&L
3977,Harrison Walker 746,Male,Quantitative Trading,Crypto,AVAX,1955.97%,Before Fees
3978,Jade Cook,Female,Scalping,Crypto,DOGE,1796.18%,Realized Profit
3979,Patrick Hill,Male,High Frequency Trading,Stock,ADBE,"$43,201.71",Monthly P&L
3980,Vivian Alvarez,Female,Position Trading,Crypto,BTC,982.81%,Return (%)
3981,Adeline Brown 173,Female,Statistical Arbitrage,Crypto,SHIB,"$79,664.57",Unrealized Profit
3982,Taylor Rodriguez,Non-binary,News Trading,Stock,V,98.82%,Before Fees
3983,Leo Bailey,Male,Scalping,Stock,PFE,"$101,896.37",Weekly P&L
3984,Victoria Phillips,Female,News Trading,Crypto,DOGE,"$39,060.41",Unrealized Profit
3985,Clara Patel,Female,Options Spreads,Options,TSLA 2025-10-17 P 250,"$-29,629.02",Absolute $
3986,Maya Martinez,Female,Day Trading,Stock,INTC,1181.67%,Paper Gain
3987,Eleanor Price 168,Female,News Trading,Crypto,TRX,"$179,602.27",Daily P&L
3988,Connor Hernandez,Male,High Frequency Trading,Stock,CRM,"$-14,875.71",Weekly P&L
3989,Brayden Rivera,Male,Swing Trading,Stock,NVDA,"$185,503.12",Weekly P&L
3990,Charlotte Bennett 55,Female,Statistical Arbitrage,Futures,NQ Dec25,53.39%,After Fees
3991,Kennedy Bailey,Female,Futures Roll,Stock,NVDA,"$-48,273.74",Absolute $
3992,Steven White,Male,Momentum Trading,Futures,ETH-PERP,1264.3%,Realized Profit
3993,Oakley Mitchell 967,Non-binary,Statistical Arbitrage,Stock,UNH,252.84%,Unrealized Profit
3994,Amelia Chavez,Female,Position Trading,Stock,AMZN,176.7%,Per Trade Profit
3995,Willow Robinson,Female,Algorithmic Trading,Options,TSLA 2025-10-17 P 250,"$31,136.53",Net of Taxes
3996,Ruby Foster,Female,Momentum Trading,Stock,PFE,"$147,007.61",Net P&L
